0,12
1,4
2,8
3,2
4,12
5,5
6,1
7,1
7,10
8,8
9,15
10,3
11,6
12,0
13,5
14,5
15,10
16,6
17,12
18,12
19,7
20,6
21,15
22,3
23,6
24,7
25,15
26,15
27,8
28,3
29,6
30,11
31,2
32,4
33,15
34,1
35,7
36,14
37,1
38,9
39,1
40,8
40,15
41,5
42,3
43,5
44,12
45,7
45,15
46,14
47,1
48,2
48,3
49,15
49,2
50,10
51,8
52,4
53,0
54,4
55,0
56,5
57,14
58,13
59,6
60,2
61,13
62,5
63,4
64,14
65,9
65,15
66,0
67,2
68,8
69,7
70,7
71,3
72,12
73,0
74,14
75,2
76,6
77,11
78,8
79,15
80,8
81,5
82,14
83,5
84,8
85,0
86,4
87,4
88,15
89,5
90,6
90,15
91,0
92,14
93,4
94,2
95,15
96,15
97,10
97,14
98,3
99,9
100,6
101,9
101,2
102,4
103,7
103,13
104,7
105,11
106,8
107,5
108,14
109,4
110,0
110,3
111,9
112,14
113,6
114,5
115,10
116,2
117,0
118,0
119,10
120,6
121,4
122,6
123,3
124,13
125,4
126,8
127,8
128,14
129,14
130,12
131,0
132,7
133,6
134,11
135,9
136,9
137,10
138,9
139,9
140,9
141,3
142,13
143,10
144,15
145,12
145,15
146,2
147,3
148,3
149,4
149,5
150,14
151,9
152,12
153,0
154,8
155,5
156,11
157,7
158,5
159,12
159,4
160,11
161,3
162,9
163,11
164,14
164,2
165,14
166,9
167,5
168,8
169,6
170,9
171,9
172,15
173,13
174,13
175,5
176,2
177,13
178,4
179,4
180,11
181,10
182,0
183,0
184,1
185,15
186,10
187,15
188,3
189,7
190,4
191,14
192,7
193,7
194,0
195,12
196,9
197,1
198,15
199,14
200,11
200,7
201,10
202,3
203,11
204,3
205,11
206,2
207,8
208,14
208,6
209,1
210,14
210,1
211,10
212,10
213,11
214,6
215,4
215,6
216,13
217,13
218,1
219,0
219,2
220,6
221,5
222,0
223,8
224,0
225,6
226,15
227,8
228,6
229,5
230,7
231,6
232,14
233,15
234,2
235,3
235,6
236,9
237,9
238,3
239,14
240,3
241,5
242,6
243,2
244,15
244,8
245,4
246,4
247,7
247,9
248,9
249,8
250,15
251,4
252,9
253,2
254,4
255,4
256,6
257,8
258,15
259,11
260,15
261,12
262,7
263,12
264,6
265,4
266,15
267,7
268,12
268,2
269,0
270,1
271,7
272,14
273,2
274,12
275,14
276,9
277,9
278,5
278,3
279,9
280,3
281,0
282,4
283,5
283,2
284,12
284,1
285,3
286,11
286,10
287,12
288,0
289,3
290,4
291,8
292,14
293,9
293,15
294,12
295,11
296,2
297,10
298,8
299,15
300,1
301,0
302,2
303,11
304,3
305,13
306,11
306,7
307,3
308,0
308,14
309,7
310,6
311,9
312,13
312,15
313,4
314,13
315,6
316,5
317,2
318,4
319,9
320,10
321,7
322,0
323,12
323,13
324,7
325,7
326,7
327,11
328,9
329,13
330,4
331,1
332,6
333,14
334,5
335,13
336,15
337,2
338,12
339,4
340,12
341,0
342,0
343,6
344,4
345,12
346,4
347,3
348,9
348,1
349,14
350,10
351,3
352,5
353,11
354,4
354,3
355,13
356,6
357,14
358,12
359,9
360,7
361,15
362,14
363,15
364,13
365,7
366,11
367,13
368,2
369,7
370,9
371,10
372,7
372,0
373,10
374,0
375,8
375,6
376,2
377,6
378,7
379,12
380,13
381,11
382,13
383,2
384,6
385,12
386,3
387,3
388,5
389,13
389,11
390,6
391,3
392,5
392,3
393,11
394,11
395,7
396,0
397,7
398,6
399,14
400,10
400,2
401,7
402,15
403,8
404,8
405,1
406,8
407,12
408,7
409,7
410,7
411,14
411,9
412,7
413,10
414,7
415,1
416,14
417,1
418,15
419,13
420,0
421,2
422,12
423,9
424,7
425,14
426,3
427,0
428,14
429,8
430,8
431,8
432,5
433,14
434,10
434,7
435,6
436,6
437,1
438,9
439,2
440,9
441,8
441,3
442,15
443,8
444,6
445,13
446,7
447,12
448,7
448,15
449,15
449,13
450,11
451,2
452,6
452,3
453,13
453,3
454,6
455,1
455,4
456,4
457,14
458,5
459,13
460,15
460,14
461,10
462,12
463,6
464,10
465,13
465,10
466,4
467,10
468,1
469,12
470,15
471,7
472,5
473,13
474,6
475,5
476,0
477,1
478,15
479,4
480,6
481,15
482,0
483,1
484,2
485,11
486,6
487,2
488,13
488,3
489,14
490,13
491,3
492,11
493,9
494,2
495,7
496,10
497,15
498,5
499,0
500,11
501,6
502,13
503,14
504,11
505,6
506,2
507,4
508,6
509,6
510,15
511,12
512,8
513,7
514,11
515,13
516,11
517,4
517,15
518,6
519,10
520,11
521,3
521,14
522,1
523,6
523,7
524,9
525,4
526,10
527,6
528,7
529,15
530,6
531,3
532,2
533,13
534,10
535,1
536,9
537,11
538,13
539,8
540,11
541,14
542,11
543,13
544,0
545,4
546,5
547,1
548,1
548,8
